,raw,clean,lemmas,color,gender,keywords
151,"Franck Bella FB74C Analog Watch  - For Boys, Men",franck bella fb74c analog watch   for boys men,franck bella fb74c analog watch for boy men,[],['boy'],boy men analog watch franck bella 
152,Carlton London Boots,carlton london boots,carlton london boot,[],[],carlton london boot carlton london 
153,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,ridas aplledblack apple shape digital watch   for boys,ridas aplledblack apple shape digital watch for boy,[],['boy'],apple shape aplledblack apple ridas aplledblack 
154,La Briza Andria Boots,la briza andria boots,la briza andria boot,[],[],boot briza andria andria boot 
155,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",skmei 1070blk sports analogdigital watch   for men boys,skmei 1070blk sport analogdigital watch for men boy,[],['boy'],men boy sport analogdigital skmei 
156,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",skmei ad1057darkorange sports analogdigital watch   for men boys,skmei ad1057darkorange sport analogdigital watch for men boy,[],['boy'],men boy sport analogdigital skmei 
157,Urban Country Ladies Boots,urban country ladies boots,urban country lady boot,[],[],country lady lady boot urban country 
158,Now SP-ETHNIC Analog Watch  - For Boys,now spethnic analog watch   for boys,now spethnic analog watch for boy,[],['boy'],boy analog watch spethnic analog 
159,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",disney msfr19001b analog watch   for boys girls,disney msfr19001b analog watch for boy girl,[],"['girl', 'boy']",boy girl analog watch disney 
160,Get Glamr Designer Yuvu Boots,get glamr designer yuvu boots,get glamr designer yuvu boot,[],[],designer yuvu glamr designer yuvu boot 
161,Remson India Boots,remson india boots,remson india boot,[],[],remson india boot remson india 
162,Jacques Farel KWD2324 Analog Watch  - For Boys,jacques farel kwd2324 analog watch   for boys,jacques farel kwd2324 analog watch for boy,[],['boy'],jacques analog watch jacques farel 
163,Salt N Pepper 13-455 Pisa Black Boots,salt n pepper 13455 pisa black boots,salt n pepper 13455 pisa black boot,['black'],[],salt black boot pisa black 
164,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",oxter chrono blue italia analog watch   for men boys,oxter chrono blue italia analog watch for men boy,['blue'],['boy'],chrono blue men boy oxter chrono 
165,Klaur Melbourne Boots,klaur melbourne boots,klaur melbourne boot,[],[],klaur melbourne boot klaur melbourne 
166,"Positif Pfbk612 Analog Watch  - For Men, Boys",positif pfbk612 analog watch   for men boys,positif pfbk612 analog watch for men boy,[],['boy'],men boy analog watch positif 
167,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",dsigner 688rgm brn analog watch   for men boys,dsigner 688rgm brn analog watch for men boy,[],['boy'],men boy brn analog dsigner 
168,Salt N Pepper 13-019 Femme Taupe Boots Boots,salt n pepper 13019 femme taupe boots boots,salt n pepper 13019 femme taupe boot boot,[],[],boot boot taupe boot femme taupe 
169,"Franck Bella FB127A Analog Watch  - For Boys, Men",franck bella fb127a analog watch   for boys men,franck bella fb127a analog watch for boy men,[],['boy'],boy men analog watch franck bella 
170,Get Glamr Stylish Boots,get glamr stylish boots,get glamr stylish boot,[],[],boot glamr stylish stylish boot 
171,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",felix 3541 ws metal analog watch   for boys girls,felix 3541 w metal analog watch for boy girl,[],"['girl', 'boy']",metal analog boy girl felix 
172,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",skmei dg0939red sports digital watch   for men boys,skmei dg0939red sport digital watch for men boy,[],['boy'],men boy sport digital skmei 
173,Do Bhai Boots,do bhai boots,do bhai boot,[],[],bhai boot bhai boot 
